,pcons,proq4,qmeanDisCo,seqlen,dan,FC,Neff,contact_L,DIS,FH,P
0,0.996,0.496,0.518,77.0,0.609,0.5714285714,7.744560000000001,0.45454545454545453,0.491374,0.41558441560000003,0.038961038999999996
1,0.996,0.48700000000000004,0.523,77.0,0.615,0.5714285714,7.744560000000001,0.45454545454545453,0.491374,0.41558441560000003,0.038961038999999996
2,0.995,0.49700000000000005,0.515,77.0,0.618,0.5714285714,7.744560000000001,0.45454545454545453,0.491374,0.41558441560000003,0.038961038999999996
3,0.995,0.496,0.518,77.0,0.6459999999999999,0.5714285714,7.744560000000001,0.45454545454545453,0.491374,0.41558441560000003,0.038961038999999996
4,0.993,0.48200000000000004,0.522,77.0,0.62,0.5714285714,7.744560000000001,0.45454545454545453,0.491374,0.41558441560000003,0.038961038999999996
5,0.995,0.509,0.66,41.0,0.688,0.3414634146,6.862360000000001,0.975609756097561,0.475729,0.3902439024,0.0487804878
6,0.9940000000000001,0.511,0.727,41.0,0.7040000000000001,0.3414634146,6.862360000000001,0.975609756097561,0.475729,0.3902439024,0.0487804878
7,0.9940000000000001,0.498,0.6579999999999999,41.0,0.7070000000000001,0.3414634146,6.862360000000001,0.975609756097561,0.475729,0.3902439024,0.0487804878
8,0.9940000000000001,0.483,0.75,41.0,0.705,0.3414634146,6.862360000000001,0.975609756097561,0.475729,0.3902439024,0.0487804878
9,0.987,0.493,0.73,41.0,0.698,0.3414634146,6.862360000000001,0.975609756097561,0.475729,0.3902439024,0.0487804878
10,0.9940000000000001,0.369,0.371,131.0,0.56,0.5038167939,4.34869,0.2748091603053435,0.462959,0.45038167939999996,0.0534351145
11,0.9940000000000001,0.38299999999999995,0.39899999999999997,131.0,0.526,0.5038167939,4.34869,0.2748091603053435,0.462959,0.45038167939999996,0.0534351145
12,0.993,0.37,0.38,131.0,0.531,0.5038167939,4.34869,0.2748091603053435,0.462959,0.45038167939999996,0.0534351145
13,0.993,0.35600000000000004,0.406,131.0,0.537,0.5038167939,4.34869,0.2748091603053435,0.462959,0.45038167939999996,0.0534351145
14,0.992,0.40700000000000003,0.389,131.0,0.5379999999999999,0.5038167939,4.34869,0.2748091603053435,0.462959,0.45038167939999996,0.0534351145
15,0.993,0.55,0.6779999999999999,41.0,0.7190000000000001,0.4146341463,2.78398,1.146341463414634,0.464394,0.243902439,0.0
16,0.992,0.599,0.685,41.0,0.706,0.4146341463,2.78398,1.146341463414634,0.464394,0.243902439,0.0
17,0.99,0.527,0.6729999999999999,41.0,0.713,0.4146341463,2.78398,1.146341463414634,0.464394,0.243902439,0.0
18,0.99,0.547,0.687,41.0,0.7070000000000001,0.4146341463,2.78398,1.146341463414634,0.464394,0.243902439,0.0
19,0.9890000000000001,0.5720000000000001,0.696,41.0,0.677,0.4146341463,2.78398,1.146341463414634,0.464394,0.243902439,0.0
20,0.992,0.46299999999999997,0.7440000000000001,143.0,0.698,0.041958042,7.60296,0.0,0.765051,0.9580419579999999,0.0
21,0.99,0.441,0.632,143.0,0.654,0.041958042,7.60296,0.0,0.765051,0.9580419579999999,0.0
22,0.988,0.436,0.7659999999999999,143.0,0.574,0.041958042,7.60296,0.0,0.765051,0.9580419579999999,0.0
23,0.987,0.423,0.489,143.0,0.5660000000000001,0.041958042,7.60296,0.0,0.765051,0.9580419579999999,0.0
24,0.985,0.485,0.6659999999999999,143.0,0.64,0.041958042,7.60296,0.0,0.765051,0.9580419579999999,0.0
25,0.99,0.303,0.392,103.0,0.484,0.6019417476,4.836880000000001,0.08737864077669903,0.53556,0.39805825240000003,0.0485436893
26,0.9890000000000001,0.33299999999999996,0.391,103.0,0.47100000000000003,0.6019417476,4.836880000000001,0.08737864077669903,0.53556,0.39805825240000003,0.0485436893
27,0.988,0.3,0.402,103.0,0.495,0.6019417476,4.836880000000001,0.08737864077669903,0.53556,0.39805825240000003,0.0485436893
28,0.988,0.314,0.41,103.0,0.532,0.6019417476,4.836880000000001,0.08737864077669903,0.53556,0.39805825240000003,0.0485436893
29,0.986,0.331,0.42,103.0,0.47200000000000003,0.6019417476,4.836880000000001,0.08737864077669903,0.53556,0.39805825240000003,0.0485436893
30,0.988,0.18899999999999997,0.971,53.0,0.78,0.09433962259999999,2.3679799999999998,0.0,0.5272479999999999,0.9056603773999999,0.0
31,0.988,0.184,0.9640000000000001,53.0,0.7659999999999999,0.09433962259999999,2.3679799999999998,0.0,0.5272479999999999,0.9056603773999999,0.0
32,0.9840000000000001,0.2,0.9279999999999999,53.0,0.728,0.09433962259999999,2.3679799999999998,0.0,0.5272479999999999,0.9056603773999999,0.0
33,0.983,0.204,0.9440000000000001,53.0,0.743,0.09433962259999999,2.3679799999999998,0.0,0.5272479999999999,0.9056603773999999,0.0
34,0.9670000000000001,0.214,0.826,53.0,0.677,0.09433962259999999,2.3679799999999998,0.0,0.5272479999999999,0.9056603773999999,0.0
35,0.987,0.419,0.792,33.0,0.904,0.1515151515,7.886819999999999,0.0,0.235077,0.8484848484999999,0.0303030303
36,0.985,0.406,0.78,33.0,0.898,0.1515151515,7.886819999999999,0.0,0.235077,0.8484848484999999,0.0303030303
37,0.983,0.392,0.802,33.0,0.888,0.1515151515,7.886819999999999,0.0,0.235077,0.8484848484999999,0.0303030303
38,0.981,0.41600000000000004,0.747,33.0,0.898,0.1515151515,7.886819999999999,0.0,0.235077,0.8484848484999999,0.0303030303
39,0.98,0.385,0.785,33.0,0.888,0.1515151515,7.886819999999999,0.0,0.235077,0.8484848484999999,0.0303030303
40,0.987,0.5529999999999999,0.502,89.0,0.5329999999999999,0.8089887640000001,10.4197,0.9550561797752809,0.134047,0.0337078652,0.0674157303
41,0.986,0.507,0.494,89.0,0.552,0.8089887640000001,10.4197,0.9550561797752809,0.134047,0.0337078652,0.0674157303
42,0.986,0.5579999999999999,0.519,89.0,0.57,0.8089887640000001,10.4197,0.9550561797752809,0.134047,0.0337078652,0.0674157303
43,0.985,0.511,0.5,89.0,0.534,0.8089887640000001,10.4197,0.9550561797752809,0.134047,0.0337078652,0.0674157303
44,0.983,0.484,0.46799999999999997,89.0,0.529,0.8089887640000001,10.4197,0.9550561797752809,0.134047,0.0337078652,0.0674157303
45,0.985,0.257,0.624,64.0,0.59,0.328125,4.45929,0.0,0.672342,0.640625,0.0
46,0.985,0.255,0.618,64.0,0.606,0.328125,4.45929,0.0,0.672342,0.640625,0.0
47,0.981,0.245,0.5479999999999999,64.0,0.5870000000000001,0.328125,4.45929,0.0,0.672342,0.640625,0.0
48,0.976,0.257,0.564,64.0,0.6,0.328125,4.45929,0.0,0.672342,0.640625,0.0
49,0.9620000000000001,0.27,0.512,64.0,0.616,0.328125,4.45929,0.0,0.672342,0.640625,0.0
50,0.9840000000000001,0.292,0.371,236.0,0.434,0.5593220339,6.71174,0.05508474576271186,0.590881,0.4406779661,0.0805084746
51,0.983,0.293,0.299,236.0,0.45799999999999996,0.5593220339,6.71174,0.05508474576271186,0.590881,0.4406779661,0.0805084746
52,0.983,0.315,0.294,236.0,0.452,0.5593220339,6.71174,0.05508474576271186,0.590881,0.4406779661,0.0805084746
53,0.977,0.284,0.314,236.0,0.493,0.5593220339,6.71174,0.05508474576271186,0.590881,0.4406779661,0.0805084746
54,0.9640000000000001,0.324,0.34700000000000003,236.0,0.46299999999999997,0.5593220339,6.71174,0.05508474576271186,0.590881,0.4406779661,0.0805084746
55,0.978,0.456,0.728,37.0,0.63,0.45945945950000006,5.63764,0.4594594594594595,0.58953,0.45945945950000006,0.0540540541
56,0.978,0.469,0.745,37.0,0.64,0.45945945950000006,5.63764,0.4594594594594595,0.58953,0.45945945950000006,0.0540540541
57,0.977,0.462,0.7390000000000001,37.0,0.619,0.45945945950000006,5.63764,0.4594594594594595,0.58953,0.45945945950000006,0.0540540541
58,0.97,0.46,0.716,37.0,0.622,0.45945945950000006,5.63764,0.4594594594594595,0.58953,0.45945945950000006,0.0540540541
59,0.9690000000000001,0.449,0.73,37.0,0.625,0.45945945950000006,5.63764,0.4594594594594595,0.58953,0.45945945950000006,0.0540540541
60,0.977,0.499,0.5720000000000001,117.0,0.66,0.1367521368,5.7635,0.9230769230769231,0.565318,0.8632478631999999,0.0
61,0.977,0.547,0.608,117.0,0.7390000000000001,0.1367521368,5.7635,0.9230769230769231,0.565318,0.8632478631999999,0.0
62,0.9740000000000001,0.531,0.574,117.0,0.741,0.1367521368,5.7635,0.9230769230769231,0.565318,0.8632478631999999,0.0
63,0.971,0.537,0.5820000000000001,117.0,0.737,0.1367521368,5.7635,0.9230769230769231,0.565318,0.8632478631999999,0.0
64,0.9690000000000001,0.5329999999999999,0.574,117.0,0.728,0.1367521368,5.7635,0.9230769230769231,0.565318,0.8632478631999999,0.0
65,0.976,0.488,0.479,116.0,0.6637931034000001,0.5603448275999999,4.9482800000000005,1.043103448275862,0.24365799999999999,0.1379310345,0.034482758599999996
66,0.976,0.46799999999999997,0.485,116.0,0.6637931034000001,0.5603448275999999,4.9482800000000005,1.043103448275862,0.24365799999999999,0.1379310345,0.034482758599999996
67,0.975,0.513,0.449,116.0,0.6379310345,0.5603448275999999,4.9482800000000005,1.043103448275862,0.24365799999999999,0.1379310345,0.034482758599999996
68,0.965,0.49200000000000005,0.48200000000000004,116.0,0.6724137931,0.5603448275999999,4.9482800000000005,1.043103448275862,0.24365799999999999,0.1379310345,0.034482758599999996
69,0.956,0.502,0.528,116.0,0.6465517241,0.5603448275999999,4.9482800000000005,1.043103448275862,0.24365799999999999,0.1379310345,0.034482758599999996
70,0.976,0.501,0.45299999999999996,236.0,0.5589999999999999,0.406779661,8.70082,0.7245762711864406,0.382038,0.5932203389999999,0.0169491525
71,0.971,0.503,0.47,236.0,0.5579999999999999,0.406779661,8.70082,0.7245762711864406,0.382038,0.5932203389999999,0.0169491525
72,0.9690000000000001,0.507,0.442,236.0,0.542,0.406779661,8.70082,0.7245762711864406,0.382038,0.5932203389999999,0.0169491525
73,0.9640000000000001,0.511,0.446,236.0,0.552,0.406779661,8.70082,0.7245762711864406,0.382038,0.5932203389999999,0.0169491525
74,0.956,0.513,0.431,236.0,0.5770000000000001,0.406779661,8.70082,0.7245762711864406,0.382038,0.5932203389999999,0.0169491525
75,0.9740000000000001,0.121,0.602,36.0,0.9059999999999999,0.44444444439999997,1.0,0.0,0.810419,0.5555555556,0.027777777799999997
76,0.973,0.12300000000000001,0.603,36.0,0.905,0.44444444439999997,1.0,0.0,0.810419,0.5555555556,0.027777777799999997
